price,speed,hd,ram,screen
1695,50,85,2,14
2195,50,170,4,14
2815,33,250,4,17
1899,25,120,4,14
2644,50,245,8,14
3795,66,500,8,14
2395,33,245,8,14
1695,33,170,4,14
2575,66,250,8,14
2695,33,340,16,14
2999,66,245,16,15
1899,33,170,4,14
2499,50,210,4,14
1999,33,213,8,14
2055,50,170,4,14
2065,50,170,4,14
2055,33,250,8,14
2099,33,212,4,14
1995,33,130,4,14
2220,33,250,4,14
3220,66,340,8,15
3995,66,452,8,14
2785,33,250,8,17
2475,50,250,8,15
1499,25,170,4,14
1595,33,85,2,14
2099,66,120,4,14
2885,66,170,8,15
3795,33,452,8,14
2295,66,170,4,14
3895,66,500,8,15
2395,33,245,8,14
3135,66,250,8,17
2420,33,170,8,15
2125,66,170,4,14
2985,66,250,8,17
1395,25,85,2,14
2295,33,245,8,14
2095,33,130,4,14
2795,33,340,16,14
1945,33,170,4,14
2635,33,250,8,17
2695,66,250,8,15
2199,50,213,8,14
3895,50,452,8,14
2599,50,212,8,14
2745,66,170,8,14
1920,33,170,4,14
2895,50,340,16,14
2199,33,210,4,14
2915,50,250,8,17
1999,33,120,8,14
2720,33,250,8,15
1999,33,170,4,14
2195,33,170,8,15
2195,25,245,8,14
2295,66,130,4,14
1595,25,170,4,15
1695,33,170,4,14
1495,25,170,4,14
3795,66,500,8,14
1699,33,120,4,14
1895,25,130,4,14
2335,50,250,8,14
2495,50,245,8,14
2575,66,250,8,14
2495,33,250,8,15
3299,66,245,16,15
2699,66,213,8,14
1695,50,85,2,14
2999,66,170,4,14
2399,66,213,8,14
1499,25,170,4,14
2395,33,170,8,14
1720,25,170,4,14
1495,33,85,2,14
2399,66,120,4,14
3035,50,250,8,17
2449,33,230,4,14
1775,33,170,4,14
2599,33,245,16,15
2995,66,340,8,15
2345,33,250,8,15
2535,33,170,8,15
2345,50,250,8,14
1899,50,120,4,14
2195,50,130,4,14
2645,50,170,8,14
2785,50,170,8,15
2799,50,245,16,15
2999,66,340,4,15
2095,33,250,4,15
4020,66,500,8,14
2595,50,250,8,15
2695,33,340,16,14
2195,33,250,8,15
2995,66,340,16,14
2195,50,170,4,14
2399,33,212,8,14
2405,66,250,8,14
1795,66,85,2,14
2225,33,250,8,14
1995,33,250,4,14
2299,50,212,4,14
1795,33,170,4,15
2545,66,250,8,15
2595,66,245,8,14
1399,25,170,4,14
2475,50,250,8,14
2595,25,340,16,14
1695,50,85,2,14
3995,66,452,8,14
2999,66,240,4,15
2495,50,245,8,14
2455,66,250,8,14
2299,50,212,4,14
2690,25,340,16,14
2155,33,250,8,14
2890,33,340,16,14
1899,33,170,4,14
1595,25,170,4,14
1990,25,130,4,14
1895,25,130,4,14
1895,33,170,4,14
2799,50,245,16,15
2590,50,245,8,14
1499,25,170,4,14
2955,50,250,8,17
2285,50,250,8,14
2475,50,250,8,15
3795,33,452,8,14
1999,33,213,8,14
2599,50,212,8,14
2895,50,340,16,14
3895,50,452,8,14
2695,66,250,8,14
1995,50,170,4,14
2399,66,120,4,14
2605,33,250,8,17
2335,66,250,8,14
2195,66,170,4,14
2425,66,250,8,15
2995,66,340,16,14
2599,33,245,16,15
2390,33,245,8,14
1690,33,85,2,14
1495,33,85,2,14
2395,33,250,8,14
2099,33,212,4,14
3090,66,340,16,14
2599,33,240,4,15
1999,33,170,4,14
2195,50,130,4,14
2190,33,130,4,14
2025,50,170,4,14
1699,33,120,4,14
2790,33,340,16,14
1795,33,170,4,14
2990,50,340,16,14
2905,66,250,8,17
2825,33,250,8,17
2390,66,130,4,14
2699,66,213,8,14
2995,66,340,8,15
1590,33,85,2,14
2345,33,250,8,15
2199,50,213,8,14
2290,50,130,4,14
2595,50,250,8,15
2515,33,250,8,15
2145,50,170,4,14
2405,50,250,8,14
2525,50,250,8,14
2595,50,250,8,15
2090,33,130,4,14
2075,66,170,4,14
2799,50,240,4,15
3299,66,245,16,15
2645,66,250,8,15
3125,66,250,8,17
2295,33,245,8,14
1775,33,170,4,14
2095,33,130,4,14
2155,50,250,8,14
3075,50,250,8,17
2815,66,250,8,15
1599,25,170,4,14
2099,33,120,4,14
2645,50,250,8,15
1795,66,85,2,14
2035,33,250,8,14
2490,33,245,8,14
3225,66,212,4,15
2690,66,245,8,14
2195,25,245,8,14
1890,66,85,2,14
1995,33,130,4,14
2695,33,340,16,14
2595,25,340,16,14
1595,33,85,2,14
1490,25,85,2,14
2125,33,250,8,15
2399,66,213,8,14
2795,33,340,16,14
2290,25,245,8,14
2395,33,245,8,14
2399,33,212,8,14
1790,50,85,2,14
2099,66,120,4,14
1395,25,85,2,14
1895,50,170,4,14
2295,66,130,4,14
2595,66,245,8,14
1899,50,120,4,14
1399,25,170,4,14
2999,66,170,4,14
2999,66,245,16,15
2449,33,230,4,14
1795,33,170,4,14
1899,33,212,4,14
2395,33,340,8,14
2399,50,320,8,14
1595,33,170,4,14
2490,33,340,8,14
2995,66,452,16,14
2890,33,452,16,14
2190,33,214,4,15
2399,66,213,8,14
2285,50,250,8,14
2590,33,340,8,15
2795,33,452,16,14
1495,33,170,4,14
2075,66,170,4,14
2090,33,214,4,15
2195,33,250,8,15
3999,66,340,16,17
1699,33,120,4,14
1995,33,250,8,14
1690,33,107,2,14
3495,33,452,8,14
2195,66,170,4,14
3090,66,452,16,14
2690,25,452,16,14
1895,25,214,4,14
2495,50,250,8,15
2405,50,250,8,14
1595,33,107,2,14
2890,33,452,16,15
2390,25,340,8,14
1690,33,107,2,15
2295,25,340,8,14
2790,33,452,16,14
2695,33,452,16,14
2595,25,452,16,14
1995,33,214,4,14
2049,33,405,4,14
1399,25,170,4,14
2805,33,250,8,17
2019,33,120,4,14
3055,50,250,8,17
2990,50,452,16,14
2605,33,250,8,17
2125,33,250,8,15
1490,25,107,2,14
1699,33,170,4,14
2495,33,340,8,14
2599,33,245,16,15
2220,33,250,8,14
1590,33,107,2,15
1499,33,120,4,14
2625,66,250,8,15
1395,25,107,2,14
2395,33,250,8,14
2420,33,250,8,15
2425,66,250,8,15
2515,33,250,8,15
2375,50,250,8,15
3105,66,250,8,17
2390,66,214,4,15
2905,66,250,8,17
2690,25,452,16,15
2695,66,250,8,14
1790,50,107,2,14
3495,66,500,8,14
2790,33,452,16,15
1790,50,107,2,15
1795,66,107,2,14
2995,66,340,8,15
1995,50,170,4,14
2599,50,405,8,14
3720,66,500,8,14
2155,33,250,8,14
1599,25,170,4,14
2525,50,250,8,14
2299,33,405,8,14
1895,33,170,4,14
1490,25,107,2,15
2035,33,250,8,14
1720,33,170,4,14
2595,50,250,8,15
2290,50,214,4,15
2455,50,250,8,15
1695,50,107,2,14
2249,50,230,4,14
1999,50,212,4,14
2455,66,250,8,14
2595,50,340,8,14
2859,66,212,4,15
2599,50,405,4,15
2855,50,250,8,17
2790,66,340,8,14
3990,66,1000,16,14
3595,50,452,8,14
2195,50,214,4,14
3599,66,405,8,14
2690,50,340,8,15
1999,33,213,8,14
2990,50,452,16,15
1890,66,107,2,14
2190,33,214,4,14
2720,50,250,8,15
2145,50,170,4,14
2295,66,214,4,14
1990,25,214,4,15
2695,66,340,8,14
3149,66,230,8,14
1775,33,170,4,14
2490,33,340,8,15
3599,33,340,16,17
2690,50,340,8,14
3195,66,540,8,15
3695,66,452,8,14
2645,50,250,8,15
3090,66,452,16,15
1890,66,107,2,15
1999,33,170,4,14
2935,50,250,8,17
1990,25,214,4,14
2290,50,214,4,14
2390,66,214,4,14
2025,50,170,4,14
2095,33,214,4,14
2590,33,340,8,14
1499,25,170,4,14
2325,33,250,8,15
2099,66,120,4,14
2999,66,245,16,15
2790,66,340,8,15
1590,33,107,2,14
2499,50,170,4,14
2575,50,250,8,15
2390,25,340,8,15
1495,33,107,2,14
2895,50,452,16,14
2335,66,250,8,14
2090,33,214,4,14
2815,66,250,8,15
2195,50,250,4,14
1899,33,170,4,14
3599,66,450,8,14
2095,33,250,4,14
2690,33,452,16,15
2795,66,250,8,15
2799,33,240,4,14
2698,66,245,8,14
2390,33,340,8,14
2695,66,340,8,14
2095,33,214,4,14
2599,50,450,8,15
1825,50,170,4,14
1790,50,107,2,15
2720,66,340,8,14
1295,25,107,2,14
2990,50,452,16,14
1890,66,107,2,15
2595,33,452,16,14
1490,33,107,2,14
2075,50,250,8,14
3699,33,345,16,17
2690,33,452,16,14
2245,66,250,4,15
3999,66,345,16,17
2195,50,214,4,14
2999,50,240,4,14
1895,33,212,8,14
2295,50,212,8,15
2190,33,214,4,14
1690,33,107,2,14
1390,25,107,2,15
1890,25,214,4,14
2290,25,340,8,14
1720,33,170,4,14
2325,66,250,8,15
1699,33,170,4,14
2045,50,250,4,15
2299,66,120,4,14
2755,66,250,8,17
2145,66,250,4,14
3090,66,452,16,14
2790,66,340,8,14
2099,33,120,4,14
1998,66,130,4,14
2590,33,340,8,14
3365,50,540,8,17
2545,66,250,8,15
3265,33,540,8,17
2250,66,170,4,14
2890,33,452,16,14
1599,25,170,4,14
1825,33,170,4,15
2125,66,170,4,15
2245,33,250,8,15
1945,33,250,4,15
2890,33,452,16,15
1599,66,130,4,14
2295,66,214,4,14
1520,25,80,4,14
2745,33,540,8,14
2899,66,340,8,15
2390,66,214,4,14
1675,25,120,4,14
3149,66,230,8,14
2590,25,452,16,14
1999,50,212,4,14
2590,25,452,16,15
1449,25,120,4,14
1490,33,107,2,15
2299,66,245,8,14
1595,33,107,2,14
2495,33,250,8,15
1890,66,107,2,14
2995,66,452,16,14
3609,66,527,4,15
2790,66,340,8,15
2295,33,340,8,14
1799,33,120,4,14
3990,66,1000,16,14
2999,66,240,4,15
2275,33,250,8,15
2290,50,214,4,15
1499,33,130,4,14
2555,50,250,8,17
2025,66,170,4,14
2299,33,450,8,14
1975,33,250,8,14
2109,33,120,4,14
3595,66,500,8,15
2595,66,340,8,15
2395,66,250,4,14
1899,33,250,4,14
2120,33,212,8,14
1790,50,107,2,14
1899,33,212,4,14
1990,33,214,4,14
1399,25,170,4,14
1898,33,130,4,14
1725,33,170,4,14
2595,50,250,8,15
1499,25,170,4,14
1990,33,214,4,15
2595,50,340,8,14
1395,25,80,4,15
2675,33,250,8,17
1899,25,120,4,14
2990,50,452,16,15
1925,50,170,4,15
4098,33,345,16,17
2895,50,452,16,14
2495,66,340,8,14
1995,33,212,8,15
1595,33,170,4,15
2195,25,340,8,14
2399,50,320,8,14
2390,33,340,8,15
2690,50,340,8,14
1690,33,107,2,15
2398,33,245,8,14
2775,50,250,8,17
1395,33,107,2,14
2520,50,212,8,15
2125,50,250,8,15
4398,66,345,16,17
2290,50,214,4,14
2489,50,250,8,15
2190,33,214,4,15
2599,33,240,4,15
3789,66,527,8,15
2699,33,345,16,15
2799,50,240,4,15
2499,50,170,4,14
2049,33,450,4,14
2575,66,250,8,15
2999,66,345,16,15
3495,66,500,8,14
2995,66,340,16,15
2275,66,250,8,14
2590,33,340,8,15
2975,66,250,8,17
1950,33,170,4,14
2599,50,450,8,14
1695,50,107,2,14
2455,33,250,8,17
1495,33,170,4,14
2290,25,340,8,15
3720,66,500,8,14
1795,66,107,2,14
2495,33,340,8,14
3565,66,540,8,17
2845,50,540,8,14
2025,33,250,8,15
3045,66,540,8,14
2299,50,230,4,14
2345,50,250,8,15
2390,66,214,4,15
2795,33,452,16,14
1390,25,107,2,14
1749,33,250,4,14
2690,50,340,8,15
1579,25,120,4,14
3098,33,345,16,15
1295,25,80,4,14
1945,50,250,4,14
2099,33,120,4,14
1999,33,245,8,14
3090,66,452,16,15
1890,25,214,4,15
1895,33,214,4,14
3398,66,345,16,15
1845,33,250,4,14
1795,25,214,4,14
2050,50,170,4,14
2495,25,452,16,14
2375,50,250,8,15
1690,33,107,2,15
3299,50,450,8,15
1995,66,107,2,14
1495,25,107,2,14
2999,66,345,16,15
3599,33,345,16,17
3295,66,545,8,14
3999,66,450,8,17
3025,33,1370,8,14
1890,25,214,4,15
2648,66,245,8,14
2295,66,214,4,14
2199,66,340,4,14
2090,66,107,2,14
2075,33,250,8,15
2744,33,452,16,14
2425,33,545,8,14
1749,33,230,4,14
1899,33,230,4,14
1520,25,170,4,14
1795,33,214,8,14
1879,50,210,4,15
1590,25,107,2,15
1890,33,107,2,14
1720,33,212,4,14
1845,33,250,8,15
2495,25,452,16,14
3099,66,450,16,15
2990,50,452,16,14
2144,66,107,2,14
1890,33,107,2,15
1975,33,250,8,14
1945,33,250,4,14
4248,66,345,16,17
2244,25,340,8,14
2044,33,107,2,14
1690,33,107,2,14
2844,66,340,8,14
1749,33,170,4,14
2395,33,340,8,17
1890,25,214,4,14
2694,25,452,16,14
2465,33,250,8,17
1999,33,245,8,14
1599,25,120,4,14
2745,66,250,8,17
1595,33,107,2,14
1999,33,120,4,14
1939,50,170,4,14
1590,25,107,2,14
1695,33,250,4,14
3048,33,345,16,15
1599,25,170,4,14
2144,50,107,2,14
2744,25,452,16,14
1399,25,170,4,14
2015,66,210,4,14
2799,66,450,8,15
2095,25,340,8,14
2544,66,214,4,14
3948,33,345,16,17
2690,33,452,16,15
2699,33,345,16,15
2490,33,340,8,14
2244,33,214,4,14
1399,33,130,4,14
2795,33,452,16,14
3595,50,452,8,14
2045,33,250,4,15
2290,50,214,4,15
3090,66,452,16,15
2644,33,340,8,14
2348,33,245,8,14
2120,33,212,8,14
2494,66,214,4,14
2394,33,340,8,14
1845,66,210,4,14
3044,50,452,16,14
2195,50,214,4,14
2995,66,340,16,15
1829,33,170,4,14
2845,66,340,8,17
1395,25,107,4,14
3495,33,452,8,14
2890,33,452,16,14
2344,33,214,4,14
2944,33,452,16,14
2290,33,340,8,15
2799,33,240,4,14
2895,50,452,16,14
2599,50,230,4,14
3499,66,450,8,17
1509,50,130,4,14
2399,50,340,8,14
2290,50,214,4,14
2544,33,340,8,14
2295,66,250,8,15
1579,25,120,4,14
2495,50,340,8,14
1944,33,107,2,14
1769,66,170,4,14
3094,50,452,16,14
1849,33,170,4,14
1744,25,107,2,14
2744,50,340,8,14
1848,33,130,4,14
1644,25,107,2,14
2344,50,214,4,14
2694,50,340,8,14
2495,66,340,8,14
2945,66,250,8,15
2395,50,340,8,15
2590,25,452,16,15
1795,33,107,2,14
1559,50,130,4,14
2444,50,214,4,14
1794,33,107,2,14
3348,66,345,16,15
2999,66,540,8,15
2294,33,214,4,14
2095,33,214,4,14
1995,33,212,8,15
1769,33,210,4,15
2059,66,170,4,14
2990,50,452,16,15
2290,33,340,8,14
1299,33,130,4,14
2399,50,250,8,15
3789,66,527,8,15
2325,66,250,8,15
3495,66,500,8,14
2644,25,452,16,14
2644,50,340,8,14
1694,25,107,2,14
1990,33,214,4,14
2225,66,250,4,14
1295,25,170,4,14
2144,33,214,4,14
1499,25,170,4,14
2294,25,340,8,14
3695,66,452,8,14
2099,33,120,4,14
2794,33,452,16,14
2590,50,340,8,15
1795,25,214,4,14
1539,33,170,4,14
2090,66,107,2,15
2344,25,340,8,14
2195,33,340,8,14
1879,50,170,4,14
1975,66,250,4,14
2390,66,214,4,15
3720,66,500,8,14
1895,50,107,2,14
1999,66,210,4,15
2595,66,340,8,14
2620,50,340,8,15
2344,33,340,8,14
1990,50,107,2,14
2094,50,107,2,14
1945,33,340,8,15
2190,33,214,4,15
2299,66,120,4,14
2444,33,340,8,14
2175,66,250,8,15
2044,33,214,4,14
2244,66,107,2,14
2125,66,250,8,15
2845,66,250,8,14
3899,66,345,16,17
1649,50,170,4,14
2595,66,340,8,15
3144,66,452,16,14
1999,33,230,4,14
2899,50,240,4,14
3090,66,452,16,14
2094,33,214,4,14
1895,33,214,4,14
2999,66,450,8,15
2994,33,452,16,14
1495,33,107,4,14
1395,25,170,4,15
2675,66,340,8,17
2394,50,214,4,14
2590,25,452,16,14
2690,33,452,16,14
1990,33,214,4,15
2190,25,340,8,15
3895,66,1370,8,14
2999,66,320,8,15
2890,33,452,16,15
1799,33,120,4,14
2794,66,340,8,14
1899,25,120,4,14
2190,33,214,4,14
1399,25,170,4,14
2844,33,452,16,14
1559,33,170,4,14
2995,66,452,16,14
2325,66,250,4,15
1599,66,130,4,14
2299,66,245,8,14
1865,33,250,4,14
1990,50,107,2,15
1994,33,107,2,14
2109,33,120,4,14
1948,66,130,4,14
1575,33,210,4,14
2690,66,340,8,14
1449,25,120,4,14
2690,66,340,8,15
1695,25,214,8,14
2145,66,250,4,14
2044,25,214,4,14
1895,33,250,8,15
2015,33,250,8,15
2490,33,340,8,15
1844,33,107,2,14
1049,33,80,2,14
2595,33,452,16,14
2390,66,214,4,14
1799,33,250,4,14
1744,33,107,2,14
2565,33,340,8,17
2744,66,340,8,14
2799,50,320,8,15
1994,25,214,4,14
1495,33,212,4,14
2045,33,250,8,15
3194,66,452,16,14
1499,33,130,4,14
2194,66,107,2,14
3609,66,527,4,15
2190,25,340,8,14
1745,33,210,4,14
2590,50,340,8,14
1639,66,130,4,14
2044,50,107,2,14
3244,66,452,16,14
3595,66,500,8,15
1595,33,212,4,15
2444,66,214,4,14
3144,50,452,16,14
2395,33,340,8,14
1944,25,214,4,14
2594,33,340,8,14
1895,33,212,8,14
3044,33,452,16,14
2225,66,340,8,15
1495,33,212,4,14
2799,50,320,8,15
1544,25,107,2,14
2344,33,426,8,14
2794,33,540,16,14
1399,25,170,4,14
2295,50,107,4,14
2195,66,214,4,14
2594,50,426,8,14
3299,50,450,8,15
2194,25,426,8,14
3499,66,450,8,17
2090,33,214,4,14
2695,66,340,4,14
2644,50,426,8,14
1695,25,214,4,14
2095,50,214,4,14
1594,25,107,2,14
1845,66,210,4,14
2044,50,107,2,14
4295,33,1100,16,14
2795,33,540,16,14
2045,33,250,8,15
2544,33,426,8,14
2399,50,340,8,14
2225,66,250,4,14
1470,25,214,4,14
1575,33,210,4,14
2394,66,214,4,14
1795,50,107,2,14
1599,50,170,4,14
1299,33,130,4,14
4494,33,1100,16,14
2744,33,540,16,14
2444,33,426,8,14
2090,25,426,8,15
2290,66,214,4,14
2469,50,340,8,17
1495,33,107,4,14
1994,33,214,4,14
1644,33,107,2,14
2325,66,250,8,15
3515,66,424,16,17
1544,33,107,4,14
1579,25,120,4,14
1509,50,130,4,14
2589,66,340,8,17
2090,25,426,8,14
2565,33,340,8,17
2494,50,107,4,14
1865,25,170,4,17
2175,66,250,8,15
2190,50,214,4,14
1444,25,107,4,14
2109,33,120,4,14
2395,50,426,8,14
1790,33,107,2,15
1795,25,107,4,14
1695,33,250,4,14
3144,66,540,16,14
1999,33,230,4,14
2494,33,426,8,14
1894,25,214,4,14
2894,66,340,4,14
2399,50,250,8,15
1590,33,107,2,15
1799,33,120,4,14
1999,33,245,8,14
3094,50,540,16,14
2899,50,240,4,14
1879,50,170,4,14
2744,25,540,16,14
2495,33,340,4,14
2594,66,107,4,14
2845,66,340,8,17
1799,33,170,4,14
2999,66,540,8,15
3495,50,452,8,14
3295,66,545,8,14
3099,66,450,16,15
1890,50,107,2,14
4594,50,1100,16,14
1819,50,210,4,15
1590,33,107,2,14
1899,25,120,4,14
2090,33,214,4,15
3395,33,452,8,14
3025,33,1370,8,14
1795,33,214,4,14
2590,25,540,16,14
2295,66,250,8,15
1999,33,120,4,14
1945,33,250,4,14
1844,25,214,4,14
2845,66,250,8,14
1599,25,120,4,14
1890,33,214,4,14
1295,25,170,4,14
2844,33,540,16,14
1944,33,214,4,14
1849,33,170,4,14
1994,33,214,8,14
2045,33,250,4,15
2390,33,426,8,15
1995,33,340,8,14
1490,25,107,2,15
3599,33,345,16,17
2344,50,214,4,14
2644,66,426,8,14
2544,50,426,8,14
1990,66,107,2,15
1695,25,214,8,14
2195,33,214,8,14
2190,50,214,4,15
2994,33,540,16,14
1544,50,130,4,14
2890,33,540,16,15
2995,66,424,16,15
2294,50,214,4,14
1559,33,170,4,14
3789,66,527,8,15
1895,33,107,4,14
1919,50,170,4,14
2144,25,426,8,14
2295,33,426,8,14
2595,50,340,4,14
2648,66,245,8,14
2590,66,426,8,15
1049,33,80,2,14
3495,66,500,16,14
1667,33,107,8,14
1744,33,107,2,14
2244,33,426,8,14
2295,50,340,8,15
1490,25,107,2,14
2595,33,540,16,14
2144,66,107,2,14
4495,66,1100,16,14
2444,66,214,4,14
2325,66,250,4,15
3895,66,1370,8,14
1975,33,250,8,14
1895,66,107,2,14
2299,66,245,8,14
2344,66,214,4,14
2999,66,320,8,15
2170,33,340,8,14
2190,33,426,8,15
2834,66,426,8,15
1944,25,214,4,14
1894,33,107,2,14
2099,33,120,4,14
2225,66,340,8,15
2299,66,120,4,14
2095,25,214,8,14
2644,25,540,16,14
3594,33,452,8,14
2995,66,540,16,14
2244,33,214,4,14
2990,50,540,16,15
1939,66,210,4,15
4694,66,1100,16,14
2039,66,170,4,14
1495,33,107,2,14
3334,66,540,16,15
3794,66,452,8,14
2999,66,345,16,15
2094,66,107,2,14
2694,25,540,16,14
1395,25,170,4,15
1948,66,130,4,14
3694,50,452,8,14
1567,25,107,8,14
2125,66,250,8,15
2745,66,250,8,17
1944,33,107,2,14
1499,33,130,4,14
2999,66,450,8,15
1594,25,107,4,14
1995,25,426,8,14
2095,33,212,4,17
2815,50,340,8,17
2495,66,426,8,14
3999,66,450,8,17
2690,33,540,16,15
3144,50,540,16,14
1449,25,120,4,14
1994,50,107,2,14
2495,25,540,16,14
3670,66,500,16,14
2794,50,340,4,14
1729,66,170,4,14
2690,33,540,16,14
4095,66,500,16,17
2590,25,540,16,15
2244,25,426,8,14
1799,33,250,4,14
2595,33,340,8,17
1599,66,130,4,14
2390,33,426,8,14
2675,66,340,8,17
2890,33,540,16,14
3090,66,540,16,15
1975,66,250,4,14
2944,33,540,16,14
1990,66,107,2,14
1895,33,250,8,15
2145,66,250,4,14
2694,33,340,4,14
1844,33,107,2,14
2990,50,540,16,14
2590,66,426,8,14
2015,66,210,4,14
1694,33,107,2,14
2395,33,212,8,17
4395,50,1100,16,14
3244,66,540,16,14
2945,66,250,8,15
2199,66,340,4,14
1890,50,107,2,15
2294,33,426,8,14
1745,33,210,4,14
2395,33,340,8,17
2395,66,107,4,14
1570,33,214,4,14
2699,33,345,16,15
1895,33,212,8,15
1709,33,210,4,15
2194,33,214,4,14
1395,25,107,4,14
1639,66,130,4,14
2095,33,426,8,14
2195,33,107,4,14
1790,25,214,4,14
3044,33,540,16,14
2599,50,230,4,14
1890,33,214,4,15
2490,50,426,8,15
1749,33,230,4,14
1499,33,170,4,14
3899,66,345,16,17
2470,50,340,8,15
3948,33,345,16,17
1499,25,170,4,14
1894,25,214,8,14
4248,66,345,16,17
3048,33,345,16,15
2044,33,214,4,14
3595,66,500,16,15
1644,25,107,2,14
1865,33,250,4,14
1795,33,212,8,14
2095,33,340,8,15
2694,66,426,8,14
1899,33,230,4,14
2425,33,545,8,14
2799,66,450,8,15
1795,33,214,8,14
2015,33,250,8,15
2895,50,540,16,14
1790,25,214,4,15
1694,33,107,4,14
1728,25,120,4,14
3609,66,527,4,15
2490,50,426,8,14
2075,33,250,8,15
2290,66,214,4,15
2799,33,240,4,14
2465,33,250,8,17
1790,33,107,2,14
3348,66,345,16,15
1399,33,130,4,14
1399,25,170,4,14
2044,66,107,2,14
3044,50,540,16,14
1595,33,212,4,15
1395,25,107,2,14
2348,33,245,8,14
1845,33,250,8,15
2394,33,107,4,14
1995,33,214,4,14
1945,33,340,8,15
1670,33,212,4,14
1470,25,170,4,14
1970,33,212,8,14
3595,66,452,8,14
2244,50,214,4,14
1599,25,170,4,14
3090,66,540,16,14
1749,33,170,4,14
2144,33,214,4,14
1944,50,107,2,14
2359,33,340,8,17
1848,33,130,4,14
2190,33,426,8,14
3194,66,540,16,14
1695,33,107,2,14
2744,66,426,8,14
2990,50,528,16,14
1895,66,107,2,14
2395,50,426,8,14
2294,33,426,8,14
2199,66,340,4,14
1890,33,212,4,14
3499,66,527,4,14
2399,33,340,8,15
3348,66,345,16,15
2295,50,340,8,15
